Date,Schedule Rollup,STARS ID,Station Unique,Delay Type,Delay Category,Delay Subcategory,Charge Department,Trouble Code,Delay Total,Line,Incident Time,Incident Hour
1/2/2024,Weekday,A-62,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,1,1,15:29,15
1/2/2024,Weekday,A-63,Cortlandt St (R25),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,16,1,15:40,15
1/2/2024,Weekday,A-79,14 St (132),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,12,1,18:51,18
1/2/2024,Weekday,A-82,Christopher St - Sheridan Square (133),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,11,1,19:15,19
1/2/2024,Weekday,A-34,South Ferry (142),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,1,1,09:38,9
1/2/2024,Weekday,A-67,South Ferry (142),External,Sick/Injured Customer,,Public,SICK CUSTOMER,14,1,16:02,16
1/2/2024,Weekday,A-85,South Ferry (142),Internal,Other Internal,Service Delivery,OPS Training,BIE-AUTOMATIC SIGNAL,9,1,20:10,20
1/2/2024,Weekday,A-18,168 St (112),Internal,Subway Car,Propulsion,Division of Car Equipment,SLOW TRAIN,5,1,06:23,6
1/2/2024,Weekday,A-31,President St (241),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,BROKEN RAIL,7,5,09:08,9
1/2/2024,Weekday,A-100,242 St - Van Cortlandt Park (101),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,22:24,22
1/2/2024,Weekday,A-40,242 St - Van Cortlandt Park (101),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,06:55,6
1/2/2024,Weekday,A-43,34 St - Penn Station (128),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,06:16,6
1/2/2024,Weekday,A-44,137 St - City College (115),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,09:15,9
1/2/2024,Weekday,A-45,215 St (107),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,09:50,9
1/2/2024,Weekday,A-101,Times Square - 42 St (127),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,3,3,22:48,22
1/2/2024,Weekday,A-52,242 St - Van Cortlandt Park (101),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,10,1,10:45,10
1/2/2024,Weekday,A-8,59 St - Columbus Circle (125),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,9,1,00:09,0
1/3/2024,Weekday,A-81,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,2,1,20:25,20
1/3/2024,Weekday,A-87,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,2,1,21:34,21
1/3/2024,Weekday,A-12,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,2,1,08:11,8
1/3/2024,Weekday,A-88,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,2,1,20:29,20
1/3/2024,Weekday,A-28,145 St (114),External,Persons on Roadbed,,Police,PERSON ON ROADBED,12,1,11:29,11
1/3/2024,Weekday,A-10,96 St (120),External,"Public Conduct, Crime, Police Response",,Police,#CUSTOMER ASSAULTED/ROBBED,2,1,07:08,7
1/3/2024,Weekday,A-65,34 St - Penn Station (128),External,"Public Conduct, Crime, Police Response",,Police,POLICE INVESTIGATION,1,1,17:26,17
1/3/2024,Weekday,A-60,23 St (130),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),20,1,17:17,17
1/3/2024,Weekday,A-64,Chambers St (137),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,10,1,17:54,17
1/3/2024,Weekday,A-66,18 St (131),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,2,1,17:58,17
1/3/2024,Weekday,A-78,Rector St (139),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,4,1,20:30,20
1/3/2024,Weekday,A-21,South Ferry (142),External,"Public Conduct, Crime, Police Response",,Public,UNRULY PERSON(S),3,1,07:32,7
1/3/2024,Weekday,A-50,South Ferry (142),External,Sick/Injured Customer,,Police,SICK CUSTOMER,4,1,14:45,14
1/3/2024,Weekday,A-29,207 St (108),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-AUTOMATIC SIGNAL,1,1,11:29,11
