Date,Schedule Rollup,STARS ID,Station Unique,Delay Type,Delay Category,Delay Subcategory,Charge Department,Trouble Code,Delay Total,Incident_Line,Incident Time,Incident Hour,Line
1/2/2024,Weekday,B-2,Lorimer St (L10),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,14,L,00:28,0,E
1/2/2024,Weekday,B-58,Parsons/Archer - Jamaica Center (G05),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,6,E,06:21,6,E
1/2/2024,Weekday,B-76,34 St - Penn Station (A28),External,Persons on Roadbed,,Police,PERSON ON ROADBED,6,C,11:24,11,E
1/2/2024,Weekday,B-4,Elmhurst Av (G13),External,"Public Conduct, Crime, Police Response",,Police,#CUSTOMER ASSAULTED/ROBBED,1,F,00:28,0,E
1/2/2024,Weekday,B-164,Lexington Av - 53 St (F11),External,"Public Conduct, Crime, Police Response",,Police,ARMED PERSON(S),1,F,22:44,22,E
1/2/2024,Weekday,B-26,World Trade Center (E01),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),1,E,01:22,1,E
1/2/2024,Weekday,B-126,World Trade Center (E01),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,1,E,18:28,18,E
1/2/2024,Weekday,B-156,46 St (G18),Internal,Other Internal,Service Delivery,Division of Service Delivery,T/O OVER RUNNING THE STATION,3,E,22:48,22,E
1/2/2024,Weekday,B-140,Hoyt - Schermerhorn (A42),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-HOME SIGNAL,28,A,19:02,19,E
1/2/2024,Weekday,B-110,36 St (G20),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,CBTC-SIGNAL EQUIPMENT,5,F,15:34,15,E
1/2/2024,Weekday,B-22,Northern Blvd (G16),Internal,Stations & Structure,,Division of Station Environment,DELAYED BY REFUSE COLLECTOR,7,E,01:29,1,E
1/2/2024,Weekday,B-130,59 St - Columbus Circle (A24),Internal,Subway Car,Other - CE,Division of Car Equipment,BIE-MULTIPLE TIMES,11,D,17:24,17,E
1/2/2024,Weekday,B-12,53 St Tube (F10),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,RAIL REPAIR/REPLACEMENT,11,F,01:35,1,E
1/2/2024,Weekday,B-116,42 St - Port Authority Bus Terminal (A27),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,E,15:41,15,E
1/2/2024,Weekday,B-52,Queens Plaza (G21),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,5,E,06:19,6,E
1/2/2024,Weekday,B-158,46 St (G18),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,14,E,22:46,22,E
1/2/2024,Weekday,B-74,Briarwood - Van Wyck Blvd (F05),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,5,E,11:06,11,E
1/3/2024,Weekday,B-2,Stillwell Av - Coney Island (D43),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,6,D,00:34,0,E
1/3/2024,Weekday,B-166,46 St (G18),External,External Debris on Roadbed,,Police,DEBRIS ON ROADBED,12,E,21:11,21,E
1/3/2024,Weekday,B-168,Grand Av - Newtown (G12),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,5,R,21:27,21,E
1/3/2024,Weekday,B-52,46 St (G18),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,1,E,07:43,7,E
1/3/2024,Weekday,B-56,Forest Hills - 71 Av (G08),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,2,E,08:03,8,E
1/3/2024,Weekday,B-16,World Trade Center (E01),Internal,Track Failures,"Fire, Smoke, Debris",Division of MOW Track,BIE-DEBRIS ON ROADBED,2,E,01:11,1,E
1/3/2024,Weekday,B-8,53 St Tube (F10),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,RAIL REPAIR/REPLACEMENT,10,F,01:33,1,E
1/3/2024,Weekday,B-14,Canal St (A34),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,15,E,00:04,0,E
1/3/2024,Weekday,B-76,Forest Hills - 71 Av (G08),Planned ROW Work,,,Division of MOW Track,DELAYED BY WORK TRAIN,1,E,09:28,9,E
1/3/2024,Weekday,B-188,Northern Blvd (G16),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,17,E,22:25,22,E
1/3/2024,Weekday,B-90,34 St - Penn Station (A28),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,1,E,10:39,10,E
1/3/2024,Weekday,B-82,Kew Gardens - Union Tpke (F06),Planned ROW Work,,,MTA Construction & Development,GENERAL ORDER OPERATION,6,E,10:15,10,E
1/4/2024,Weekday,B-154,116 St (A16),External,Persons on Roadbed,,Police,*BIE-PERSON STRUCK/DECEASED,1,D,21:02,21,E
1/4/2024,Weekday,B-150,34 St - Penn Station (A28),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),20,C,20:14,20,E
1/4/2024,Weekday,B-144,Fulton St (A38),External,"Public Conduct, Crime, Police Response",,Public,OBSTRUCTION/UNUSUAL INCIDENT,1,C,16:53,16,E
1/4/2024,Weekday,B-136,Forest Hills - 71 Av (G08),External,Sick/Injured Customer,,Police,SICK CUSTOMER,4,F,17:44,17,E
1/4/2024,Weekday,B-65,Lexington Av - 59 St (R11),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,FIRE/SMOKE CONDITIONS,1,N,09:13,9,E
1/4/2024,Weekday,B-152,42 St - Port Authority Bus Terminal (A27),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-HOME SIGNAL,1,E,20:51,20,E
1/4/2024,Weekday,B-16,Kew Gardens - Union Tpke (F06),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,1,F,00:19,0,E
1/4/2024,Weekday,B-72,Church Av (F27),Internal,Stations & Structure,,Division of Station Environment,DELAYED BY REFUSE COLLECTOR,2,G,10:38,10,E
1/4/2024,Weekday,B-138,Court Square - 23 St (F09),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,TRACK CIRCUIT FAILURE,53,F,17:23,17,E
1/4/2024,Weekday,B-46,World Trade Center (E01),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,E,06:05,6,E
1/4/2024,Weekday,B-76,Parsons/Archer - Jamaica Center (G05),Planned ROW Work,,,Division of MOW Engineering,SYSTEM MAINTENANCE EQUIPMENT,7,E,08:00,8,E
1/4/2024,Weekday,B-4,W 4 St - Washington Square (A32),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,14,E,00:07,0,E
1/4/2024,Weekday,B-160,Lexington Av - 53 St (F11),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,14,E,22:24,22,E
1/4/2024,Weekday,B-24,75 Av (F07),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,14,E,00:42,0,E
1/4/2024,Weekday,B-78,Kew Gardens - Union Tpke (F06),Planned ROW Work,,,MTA Construction & Development,GENERAL ORDER OPERATION,2,F,10:15,10,E
1/5/2024,Weekday,B-2,Lefferts Blvd - Ozone Park (A65),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,10,A,01:20,1,E
1/5/2024,Weekday,B-10,Fulton St (A38),External,Persons on Roadbed,,Police,PERSON ON ROADBED,2,A,00:08,0,E
1/5/2024,Weekday,B-186,Forest Hills - 71 Av (G08),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),1,E,18:14,18,E
1/5/2024,Weekday,B-60,42 St - Port Authority Bus Terminal (A27),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),4,C,12:00,12,E
1/5/2024,Weekday,B-115,DeKalb Av (R30),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-HOME SIGNAL,1,N,19:45,19,E
1/5/2024,Weekday,B-124,Queens Plaza (G21),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-HOME SIGNAL,6,F,13:10,13,E
1/5/2024,Weekday,B-132,Woodhaven Blvd (G11),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,CBTC-CAR EQUIPMENT,5,F,14:19,14,E
1/5/2024,Weekday,B-166,Canal St (A34),Internal,Subway Car,Door-Related,Division of Car Equipment,GUARD LIGHT TROUBLE,4,A,18:24,18,E
1/5/2024,Weekday,B-8,Queens Plaza (G21),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,RAIL REPAIR/REPLACEMENT,4,E,02:41,2,E
1/5/2024,Weekday,B-66,Steinway St (G19),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,TRACK CIRCUIT FAILURE,53,E,08:31,8,E
1/5/2024,Weekday,B-216,Queens Plaza (G21),Operating Environment,Other Operating Environment,,Division of MOW Track,CONGESTION-ROW CAPACITY,12,E,21:54,21,E
1/5/2024,Weekday,B-182,Forest Hills - 71 Av (G08),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,E,19:46,19,E
1/5/2024,Weekday,B-160,Court Square - 23 St (F09),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,11,E,16:44,16,E
1/5/2024,Weekday,B-16,Lexington Av - 53 St (F11),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,18,E,00:32,0,E
1/5/2024,Weekday,B-224,46 St (G18),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,4,E,23:07,23,E
1/5/2024,Weekday,B-84,Kew Gardens - Union Tpke (F06),Planned ROW Work,,,MTA Construction & Development,GENERAL ORDER OPERATION,15,E,10:15,10,E
1/8/2024,Weekday,B-106,Parsons/Archer - Jamaica Center (G05),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,2,E,09:25,9,E
1/8/2024,Weekday,B-2,Stillwell Av - Coney Island (D43),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,29,F,00:21,0,E
1/8/2024,Weekday,B-78,Elmhurst Av (G13),External,Persons on Roadbed,,Police,*BIE-PERSON STRUCK/ALIVE,43,E,10:26,10,E
1/8/2024,Weekday,B-92,Elmhurst Av (G13),External,"Public Conduct, Crime, Police Response",,Police,E.A. BOX ACTIVATED,1,E,12:15,12,E
1/8/2024,Weekday,B-116,Steinway St (G19),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),1,R,15:21,15,E
1/8/2024,Weekday,B-146,Parsons/Archer - Jamaica Center (G05),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),11,E,20:46,20,E
1/8/2024,Weekday,B-46,Canal St (A34),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,9,E,06:15,6,E
1/8/2024,Weekday,B-120,Chambers St (A36),External,Sick/Injured Customer,,Public,SICK CUSTOMER,9,A,15:49,15,E
1/8/2024,Weekday,B-130,Queens Plaza (G21),External,Sick/Injured Customer,,Public,SICK CUSTOMER,7,R,17:36,17,E
1/8/2024,Weekday,B-68,57 St (B10),Internal,Signal Failures,Other - Sig,Division of MOW Signals,SIGNAL TROUBLE,11,M,08:36,8,E
1/8/2024,Weekday,B-50,50 St (A25),Internal,Signal Failures,Other - Sig,Division of MOW Signals,SWITCH TROUBLE,16,E,05:08,5,E
1/8/2024,Weekday,B-4,Kew Gardens - Union Tpke (F06),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,1,E,00:17,0,E
1/8/2024,Weekday,B-88,Kew Gardens - Union Tpke (F06),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,1,E,11:35,11,E
