Date,Sent To,Ticket ,RTO #,District,Line,Facility,Location,Type,Request,Entered by,Current Status,Completed Date,Comments,,
1/2/2025,F & S,N/A,F & S,,,Janovic Paint,55 Thompson Street,pick up,paint for Roseanne office,JC,completed,1/2/2025,,,
1/2/2025,F & S,N/A,F & S,3,Q,Stillwell Avenue,Crew facility,delivery,delivered cabinet for Vega,JC,completed,1/2/2025,,,
1/2/2025,F & S,N/A,F & S,Crew off,Crew off,2717 Jackson Avenue,Roseanne Cummings office,paint,started painting office,JC,completed,1/2/2025,,,
1/2/2025,Market Place,6030591522,139436,Sub C,Sub C,Sub Division C,130 Livingston Street,Fastenal,door stop,JR,ITEM DISCONTINUED,,,,
1/2/2025,MOW,947484,M25001,3,D,Concourse Yard,Tower,repair,b/o door lock,AG,completed,1/5/2025,,,
1/2/2025,Station Env,947201/12623305 ,SE250001,5,7,Main Street,Men Restroom - Mezzanine Level,repair,toilet not flushing adequately,AG,completed,1/2/2025,,,
1/2/2025,Station Env,12628621,SE250002,5,E,Parsons Archer,Men Locker Room,repair,b/o doorstop ,AG,completed,1/5/2025,,,
1/2/2025,Station Env,947245/12623532,SE250003,4,M,Metropolitan Avenue,Men Restroom ,replace,b/o toilet seat,AG,completed,1/3/2025,,,
1/2/2025,Station Env,947343,SE250004,3,D,Bedford Park Boulevard ,Master Tower,replace,2 dim lightbulbs,AG,completed,1/7/2025,,,
1/3/2025,F & S,N/A,F & S,1,2,Flatbush Avenue,Dispatcher office,repair,keypad lock,JC,completed,1/3/2025,,,
1/3/2025,F & S,N/A,F & S,3,R,Forest Hills 71 Street Continental,Crew facility,inpsect,inspect ice machine,JC,completed,1/3/2025,,,
1/3/2025,Market Place,6030591528,139504,F&S,F&S,Facilities & Safety ,130 Livingston Street,Staples,office supplies,JR,completed,1/9/2025,,,
1/3/2025,MOW,N/A,M25002,2,4,Mosholu Yard,Tower,replace,b/o toilet seat,AG,completed,1/5/2025,,,
1/3/2025,Station Env,126327917,SE250005,4,A,Lefferts Boulevard,Women Restroom,replace,b/o toilet seat,JC,completed,1/3/2025,,,
1/3/2025,Station Env,N/A,SE250006,1,2,Flatbush Avenue,Dispatcher Office,repair,b/o door lock keypad,AG,completed,1/3/2025,Manacho fixed the lock,,
1/3/2025,Station Env,12640906,SE250007,4,C,Rockaway Park Beach 116 Street,Dispatcher office - foyer area,repair," wall heater in Foyer not working, TWU",AG,completed,3/12/2025,"additional heater placed, foyer heater is not needed, unoccupied space",,
1/3/2025,Station Env,948247,SE250008,4,J,Broad Street,Dispatcher office,repair,broken keypad lock,JC,completed,1/4/2025,,,
1/6/2025,Bergen Shop ,N/A,B25001,1,1,242 Street ,AP Tanya Gonzalez,fabricate ,retirement plaque for johnny beniquez,SP,completed,2/4/2025,p/u by bobby ,,
1/6/2025,Bergen Shop ,N/A,B25002,OCC,OCC,Operation Control Center ,GS Tyi Frizzell ,fabricate ,retirement plaque for carol parker ,SP,completed,2/4/2025,p/u by craig ,,
1/6/2025,Bergen Shop ,N/A,B25003,Sub C,Sub C,130 Livingston ,AP Mike McGlarkner ,fabricate ,desk name plate for sub c ,SP,completed ,3/25/2025,shana delivered ,,
1/6/2025,MOW,949334,M25003,2,4,Mosholu Yard,Tower,repair,b/o door lock,AG,completed,1/8/2025,,,
1/6/2025,Station Env,949279,SE250009,3,Q,96 Street 2 Avenue,Dispatcher restroom,repair,leaking flushometer,AG,completed,1/6/2025,,,
1/6/2025,Station Env,949287,SE250010,3,Q,96 Street 2 Avenue,Women restroom,repair,continuously running sink faucet,AG,completed,1/6/2025,,,
1/6/2025,Station Env,N/A,SE250011,2,4,Dyre Avenue,Men restroom,repair,b/o flushometers/clogged drain,AG,completed,1/6/2025,,,
1/6/2025,Station Env,12673828,SE250012,3,Q,Dekalb Avenue,Women restroom,repair,slow draining sink,AG,completed,1/10/2025,,,
1/6/2025,Station Env,949341/ 12674731,SE250013,1,1,42 Street Times Square,Tower restroom,replace,missing door cylinder,AG,completed,1/6/2025,,,
1/6/2025,Station Env,949403/12675668,SE250014,5,7,Main Street,Men restroom- mezzanine Level,repair,leaking sink,AG,completed,1/9/2025,,,
1/6/2025,Station Env,N/A,SE250015,3,R,Queens Plaza Platform Controllers,Crew facility,clean,inoperable wall heater,AG,completed,1/30/2025,as per Brian Mahoney,,
1/7/2025,Bergen Shop ,N/A,B25004,Sub C,Sub C,130 Livingston ,AP Mike McGlarkner ,fabricate ,signage for sub c parking lot,SP,completed ,1/29/2025,p/u by alex ,,
1/7/2025,Bergen Shop ,N/A,B25005,OCC,OCC,Operation Control Center ,GS Tyi Frizzell ,fabricate ,retirement plaque for jordan kyrifides,SP,completed,2/4/2025,p/u by craig ,,
1/7/2025,Bergen Shop ,N/A,B25006,OCC,OCC,Operation Control Center ,GS Tyi Frizzell ,fabricate ,retirement plaque for marcia seale ,SP,completed,3/13/2025,p/u by Craig,,
1/7/2025,Bergen Shop ,N/A,B25007,OCC,OCC,Operation Control Center ,GS Tyi Frizzell ,fabricate ,retirement plaque for nancy purvis ,SP,completed,3/13/2025,p/u by Craig,,
1/7/2025,Bergen Shop ,N/A,B25008,3,N,Union Square ,AP Danielle Bacon ,fabricate ,retirement plaque for nicholas dibari ,SP,completed,3/18/2025,p/u by Danielle ,,
1/7/2025,F & S,N/A,F & S,5,F,179 Street,Crew facility,inspect,ice machine,JC,completed,1/7/2025,,,
1/7/2025,F & S,N/A,F & S,4,J,Parsons Archer,Crew facility,inspect,table,JC,completed,1/7/2025,,,
1/7/2025,F & S,N/A,F & S,5,E,Jamaica Yard,Restrooms,measure,measured windows,JC,completed,1/7/2025,,,
1/7/2025,Iron,N/A,IW25001,1,3,New Lots Avenue,Dispatcher office,repair,"iron staircase need to replace, ice accumulating on stairs",JC,completed,2/1/2025,,,
